plasmid_id,h2o_volume,buffer,pCDE067__10x__,pCDE068__10x__,pCDE069__10x__,pMYT015__10x__,pMYT018__10x__,pUPR066__10x__,pYSD002__10x__,pYSD004__10x__,pYSD005__10x__,pYSD007__10x__,pYSD008__10x__,pYSD009__10x__,pYSD080__10x__,pYSD081__10x__,pYSD082__10x__,pYSD083__10x__,pYSD084__10x__,pYTK002__10x__,pYTK003__10x__,pYTK004__10x__,pYTK005__10x__,pYTK006__10x__,pYTK007__10x__,pYTK010__10x__,pYTK025__10x__,pYTK033__10x__,pYTK053__10x__,pYTK054__10x__,pYTK055__10x__,pYTK066__10x__,pYTK067__10x__,pYTK068__10x__,pYTK069__10x__,pYTK070__10x__,pYTK071__10x__,pYTK072__10x__,pYTK095__10x__,pCDE067,pCDE068,pCDE069,pMYT015,pMYT018,pUPR066,pYSD002,pYSD004,pYSD005,pYSD007,pYSD008,pYSD009,pYSD080,pYSD081,pYSD082,pYSD083,pYSD084,pYTK002,pYTK003,pYTK004,pYTK005,pYTK006,pYTK007,pYTK010,pYTK025,pYTK033,pYTK053,pYTK054,pYTK055,pYTK066,pYTK067,pYTK068,pYTK069,pYTK070,pYTK071,pYTK072,pYTK095
pIB032,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB033,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB034,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB035,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB036,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB037,0.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB038,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB039,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB040,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB041,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB042,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB043,0.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB044,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB045,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB046,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB047,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB048,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
