plasmid_id,h2o_volume,buffer,pCDE067,pCDE068,pCDE069,pMYT015,pMYT018,pUPR066,pYSD002,pYSD004,pYSD005,pYSD007,pYSD008,pYSD009,pYSD080,pYSD081,pYSD082,pYSD083,pYSD084,pYTK002,pYTK003,pYTK004,pYTK005,pYTK006,pYTK007,pYTK010,pYTK025,pYTK033,pYTK053,pYTK054,pYTK055,pYTK066,pYTK067,pYTK068,pYTK069,pYTK070,pYTK071,pYTK072,pYTK095
pIB060,6.812,2.0,,0.263,,0.126,,,,,,0.107,,,,,,0.168,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB061,6.837,2.0,,0.263,,0.126,,,,0.106,,,,,,,,,0.144,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB062,6.836,2.0,,0.263,,0.126,,,,,,,0.107,,,,,,0.144,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB063,6.835,2.0,,0.263,,0.126,,,,,0.108,,,,,,,,0.144,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB064,6.836,2.0,,0.263,,0.126,,,,,,,,0.106,,,,,0.144,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB065,6.836,2.0,,0.263,,0.126,,,0.107,,,,,,,,,,0.144,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB066,6.836,2.0,,0.263,,0.126,,,,,,0.107,,,,,,,0.144,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB067,6.859,2.0,,0.263,,0.126,,,,0.106,,,,,,,0.122,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB068,6.858,2.0,,0.263,,0.126,,,,,,,0.107,,,,0.122,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB069,6.857,2.0,,0.263,,0.126,,,,,0.108,,,,,,0.122,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB070,6.858,2.0,,0.263,,0.126,,,,,,,,0.106,,,0.122,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB071,6.858,2.0,,0.263,,0.126,,,0.107,,,,,,,,0.122,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB072,6.858,2.0,,0.263,,0.126,,,,,,0.107,,,,,0.122,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB073,7.091,2.0,,,,,,,,,,,,,0.237,,,,,,,,0.115,,,0.146,,,,0.117,,,,,,0.113,,,0.18
pIB074,7.164,2.0,,,,,0.165,,,,,,,,,,,,,,,,,0.115,,,0.146,,,,0.117,,,,,,0.113,,0.18
pIB075,7.197,2.0,,,,,,0.131,,,,,,,,,,,,,,,,,0.115,,,0.147,0.117,,,,,,,,,0.113,0.18
